"category","variable_clean","experiment_simplified","n","mean","sd","min_val","max_val","mean_sd"
"Flow Pre-Conditions","Clear Goal &
Process","Exp1_Math_Team",113,4.18,0.73,1,5.8,"4.18 ± 0.73"
"Flow Pre-Conditions","Clear Goal &
Process","Exp2_HP_Team",120,5.01,0.89,2.7,7,"5.01 ± 0.89"
"Flow Pre-Conditions","Clear Goal &
Process","Exp2_Math_Team",120,4.81,0.79,3,6.7,"4.81 ± 0.79"
"Flow Pre-Conditions","Coordination
Possible","Exp1_Math_Team",113,4.48,1.03,2,7,"4.48 ± 1.03"
"Flow Pre-Conditions","Coordination
Possible","Exp2_HP_Team",120,5.04,1.42,1.5,7,"5.04 ± 1.42"
"Flow Pre-Conditions","Coordination
Possible","Exp2_Math_Team",120,4.53,1.61,1,7,"4.53 ± 1.61"
"Flow Pre-Conditions","Mutual
Dependence","Exp1_Math_Team",106,5.43,1.51,2,7,"5.43 ± 1.51"
"Flow Pre-Conditions","Mutual
Dependence","Exp2_HP_Team",120,5.45,1.63,1,7,"5.45 ± 1.63"
"Flow Pre-Conditions","Mutual
Dependence","Exp2_Math_Team",120,5.09,1.7,1,7,"5.09 ± 1.7"
"Team Composition","Adequate Perspective
Diversity","Exp1_Math_Team",108,5.54,1.09,3,7,"5.54 ± 1.09"
"Team Composition","Adequate Perspective
Diversity","Exp2_HP_Team",120,3.34,0.73,1.7,5.7,"3.34 ± 0.73"
"Team Composition","Adequate Perspective
Diversity","Exp2_Math_Team",120,3.15,0.87,1,6,"3.15 ± 0.87"
"Team Composition","Complementary
Skills","Exp1_Math_Team",109,5.02,1.05,2.7,7,"5.02 ± 1.05"
"Team Composition","Complementary
Skills","Exp2_HP_Team",120,4.43,0.62,3,6.3,"4.43 ± 0.62"
"Team Composition","Complementary
Skills","Exp2_Math_Team",120,4.36,0.78,2.3,6.3,"4.36 ± 0.78"
"Team Composition","Group Size
Just Right","Exp1_Math_Team",113,5.99,0.9,3.7,7,"5.99 ± 0.9"
"Team Composition","Group Size
Just Right","Exp2_HP_Team",120,3.34,0.52,2,6,"3.34 ± 0.52"
"Team Composition","Group Size
Just Right","Exp2_Math_Team",120,3.31,0.55,1.7,5.3,"3.31 ± 0.55"
"Team Composition","Team Composition
Adequate","Exp1_Math_Team",113,5.51,0.81,3.5,7,"5.51 ± 0.81"
"Team Composition","Team Composition
Adequate","Exp2_HP_Team",120,3.7,0.39,2.3,5.3,"3.7 ± 0.39"
"Team Composition","Team Composition
Adequate","Exp2_Math_Team",120,3.61,0.52,2.2,5.7,"3.61 ± 0.52"
"Team Interaction Experience","Communication
Required","Exp1_Math_Team",113,3.73,1.71,1,7,"3.73 ± 1.71"
"Team Interaction Experience","Communication
Required","Exp2_HP_Team",120,5.88,1.26,2,7,"5.88 ± 1.26"
"Team Interaction Experience","Communication
Required","Exp2_Math_Team",120,4.06,1.89,1,7,"4.06 ± 1.89"
"Team Interaction Experience","Social
Presence","Exp1_Math_Team",108,3.28,1.34,1,6.2,"3.28 ± 1.34"
"Team Interaction Experience","Social
Presence","Exp2_HP_Team",120,4.92,1.34,1,7,"4.92 ± 1.34"
"Team Interaction Experience","Social
Presence","Exp2_Math_Team",120,4.54,1.69,1,7,"4.54 ± 1.69"
"Team Interaction Experience","Work
Independence","Exp1_Math_Team",113,3.96,1.67,1,7,"3.96 ± 1.67"
"Team Interaction Experience","Work
Independence","Exp2_HP_Team",120,2.81,1.7,1,7,"2.81 ± 1.7"
"Team Interaction Experience","Work
Independence","Exp2_Math_Team",120,4.18,1.92,1,7,"4.18 ± 1.92"
